artist_name,track_name,popularity
Miley Cyrus,Flowers,94
Harry Styles,As It Was,95
Taylor Swift,Cruel Summer,99
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),91
Taylor Swift,Anti-Hero,92
Arctic Monkeys,I Wanna Be Yours,96
David Guetta,I'm Good (Blue),92
David Kushner,Daylight,94
The Weeknd,Starboy,95
OneRepublic,I Ain't Worried,92
Myke Towers,LALA,93
Doja Cat,Paint The Town Red,93
The Neighbourhood,Sweater Weather,93
SZA,Snooze,93
The Weeknd,Blinding Lights,93
Jimin,Like Crazy,93
Eminem,Mockingbird,91
Olivia Rodrigo,vampire,95
"Tyler, The Creator",See You Again (feat. Kali Uchis),92
d4vd,Romantic Homicide,91
